"EXPT","TRTCODE","DEFINITION","TRT_CODE_STD","TRT_CODES_LUMPED","YEAR","SPP","PLOT","Raw_Abund","Tot_hits","Rel_Abund","Community_type","EXPT_START","USE_IN_ANALYSIS_X","USE_IN_ANALYSIS_Y"
"Saddle","X","Control plots","X","X","1989","GEUROS","23",22,47,0.468085106382979,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","23",1,47,0.0212765957446809,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","23",6,47,0.127659574468085,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","23",5,47,0.106382978723404,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","24",2,71,0.028169014084507,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","24",7,71,0.0985915492957746,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","24",24,71,0.338028169014085,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","24",1,71,0.0140845070422535,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","RANADO","24",1,71,0.0140845070422535,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","24",23,71,0.323943661971831,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","24",13,71,0.183098591549296,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","25",4,68,0.0588235294117647,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","25",6,68,0.0882352941176471,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CHIJAM","25",1,68,0.0147058823529412,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","25",15,68,0.220588235294118,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERISIM","25",5,68,0.0735294117647059,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","25",3,68,0.0441176470588235,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","25",29,68,0.426470588235294,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","25",5,68,0.0735294117647059,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","26",27,109,0.247706422018349,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CALLEP","26",2,109,0.018348623853211,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","26",2,109,0.018348623853211,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","26",33,109,0.302752293577982,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERISIM","26",3,109,0.0275229357798165,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","26",31,109,0.284403669724771,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","26",5,109,0.0458715596330275,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLVIV","26",2,109,0.018348623853211,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SELDEN","26",2,109,0.018348623853211,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","26",2,109,0.018348623853211,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","27",3,52,0.0576923076923077,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CALLEP","27",3,52,0.0576923076923077,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","27",18,52,0.346153846153846,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","27",1,52,0.0192307692307692,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","27",20,52,0.384615384615385,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","LUZSPI","27",1,52,0.0192307692307692,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","27",4,52,0.0769230769230769,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SOLMUL","27",2,52,0.0384615384615385,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","28",5,92,0.0543478260869565,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","KOBMYO","28",83,92,0.902173913043478,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","LUZSPI","28",1,92,0.0108695652173913,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","28",2,92,0.0217391304347826,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SELDEN","28",1,92,0.0108695652173913,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","29",6,53,0.113207547169811,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CARRUP","29",10,53,0.188679245283019,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERIPIN","29",6,53,0.113207547169811,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","29",1,53,0.0188679245283019,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","29",6,53,0.113207547169811,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","LUZSPI","29",1,53,0.0188679245283019,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","OREALP","29",9,53,0.169811320754717,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","PHLPUL","29",3,53,0.0566037735849057,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","29",2,53,0.0377358490566038,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SELDEN","29",8,53,0.150943396226415,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TETGRA","29",1,53,0.0188679245283019,"FF","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CALPUR","30",3,73,0.0410958904109589,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CARRUP","30",13,73,0.178082191780822,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","30",2,73,0.0273972602739726,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","KOBMYO","30",44,73,0.602739726027397,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","OREALP","30",1,73,0.0136986301369863,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","30",1,73,0.0136986301369863,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SELDEN","30",8,73,0.10958904109589,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","30",1,73,0.0136986301369863,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","31",15,104,0.144230769230769,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CARALB","31",4,104,0.0384615384615385,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","31",2,104,0.0192307692307692,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","31",22,104,0.211538461538462,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POA_SP","31",17,104,0.163461538461538,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","31",1,104,0.00961538461538462,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","31",15,104,0.144230769230769,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","31",28,104,0.269230769230769,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","32",7,44,0.159090909090909,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CHIJAM","32",1,44,0.0227272727272727,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERISIM","32",5,44,0.113636363636364,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","32",2,44,0.0454545454545455,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","32",15,44,0.340909090909091,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","32",14,44,0.318181818181818,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","33",6,71,0.0845070422535211,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","33",3,71,0.0422535211267606,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","33",1,71,0.0140845070422535,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERISIM","33",1,71,0.0140845070422535,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","33",13,71,0.183098591549296,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","LUZSPI","33",1,71,0.0140845070422535,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","33",5,71,0.0704225352112676,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","RANADO","33",11,71,0.154929577464789,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","33",26,71,0.366197183098592,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","33",4,71,0.0563380281690141,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","34",1,47,0.0212765957446809,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","34",8,47,0.170212765957447,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","34",2,47,0.0425531914893617,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POA_SP","34",1,47,0.0212765957446809,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","34",1,47,0.0212765957446809,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","34",31,47,0.659574468085106,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","34",3,47,0.0638297872340425,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","35",1,61,0.0163934426229508,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CARPYR","35",8,61,0.131147540983607,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","35",7,61,0.114754098360656,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","35",8,61,0.131147540983607,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","35",3,61,0.0491803278688525,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","RANADO","35",1,61,0.0163934426229508,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","35",33,61,0.540983606557377,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","36",12,80,0.15,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CALLEP","36",2,80,0.025,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","36",1,80,0.0125,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","36",39,80,0.4875,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERISIM","36",1,80,0.0125,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","36",22,80,0.275,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","36",3,80,0.0375,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","38",5,90,0.0555555555555556,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CARRUP","38",1,90,0.0111111111111111,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","38",41,90,0.455555555555556,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","38",8,90,0.0888888888888889,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","38",21,90,0.233333333333333,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","KOBMYO","38",3,90,0.0333333333333333,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLVIV","38",1,90,0.0111111111111111,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","38",10,90,0.111111111111111,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CARRUP","39",3,78,0.0384615384615385,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","39",5,78,0.0641025641025641,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","KOBMYO","39",59,78,0.756410256410256,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","LUZSPI","39",1,78,0.0128205128205128,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","OREALP","39",4,78,0.0512820512820513,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLVIV","39",3,78,0.0384615384615385,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SELDEN","39",2,78,0.0256410256410256,"DM","1989"," "," "
